filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
aisearch.json,/api/2.0/ai-search/{parent}/endpoints,ai_search_create_endpoint,post,Endpoint,"aisearch, ai_search","parent, endpoint_id, endpoint",Create a new AI Search endpoint.,"Create a new AI Search endpoint.  :param parent: str   The Workspace where this Endpoint will be created. Format: ``workspaces/{workspace_id}`` :param endpoint: :class:`Endpoint`   The Endpoint resource to create. Fields other than ``endpoint.name`` carry the desired   configuration; ``endpoint.name`` is server-assigned from ``parent`` and ``endpoint_id``. :param endpoint_id: str (optional)   The user-supplied short name for the Endpoint, per AIP-133. The server composes the full   ``Endpoint.name`` as ``{parent}/endpoints/{endpoint_id}``. AIP-133 does not list ``endpoint_id`` as   a fields-may-be-required entry, so we annotate it OPTIONAL on the wire; the server still rejects   empty values with INVALID_PARAMETER_VALUE.  :returns: :class:`Endpoint`",endpoints,create,insert,
aisearch.json,/api/2.0/ai-search/{parent}/endpoints,ai_search_list_endpoints,get,ListEndpointsResponse,"aisearch, ai_search","parent, page_size, page_token",List AI Search endpoints in a workspace.,"List AI Search endpoints in a workspace.  :param parent: str   The Workspace that owns this collection of endpoints. Format: ``workspaces/{workspace_id}`` :param page_size: int (optional)   Best-effort upper bound on the number of results to return. Honored as an upper bound by the shim:   ``page_size`` only narrows the legacy backend's response, never widens it, so the practical cap is   ``min(page_size, legacy_fixed_page_size)``. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Endpoint`",endpoints,list,select,$.endpoints
aisearch.json,/api/2.0/ai-search/{parent}/indexes,ai_search_create_index,post,Index,"aisearch, ai_search","parent, index_id, index",Create a new AI Search index.,"Create a new AI Search index.  :param parent: str   The Endpoint where this Index will be created. Format:   ``workspaces/{workspace_id}/endpoints/{endpoint_id}`` :param index: :class:`Index`   The Index resource to create. Fields other than ``index.name`` carry the desired configuration;   ``index.name`` is server-assigned from ``parent`` and ``index_id``. :param index_id: str (optional)   The user-supplied Unity Catalog table name for the Index, per AIP-133. The server composes the full   ``Index.name`` as ``{parent}/indexes/{index_id}``. AIP-133 does not list ``index_id`` as a   fields-may-be-required entry, so we annotate it OPTIONAL on the wire; the server still rejects empty   values with INVALID_PARAMETER_VALUE.  :returns: :class:`Index`",indexes,create,insert,
aisearch.json,/api/2.0/ai-search/{parent}/indexes,ai_search_list_indexes,get,ListIndexesResponse,"aisearch, ai_search","parent, debug_level, page_size, page_token",List AI Search indexes on an endpoint.,"List AI Search indexes on an endpoint.  :param parent: str   The Endpoint that owns this collection of indexes. Format:   ``workspaces/{workspace_id}/endpoints/{endpoint_id}`` :param debug_level: int (optional)   Opt-in debug level. When set to 1 or higher, the backend computes per-index routing eligibility and   populates ``can_use_optimized_route`` on each returned index. When unset (0), that field is left   unpopulated and the eligibility computation is skipped. Matches the ``debug_level`` convention on   the query path. :param page_size: int (optional)   Best-effort upper bound on the number of results to return. Honored as an upper bound by the shim:   ``page_size`` only narrows the legacy backend's response, never widens it, so the practical cap is   ``min(page_size, legacy_fixed_page_size)``. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Index`",indexes,list,select,$.indexes
aisearch.json,/api/2.0/ai-search/{name},ai_search_delete_index,delete,,"aisearch, ai_search",name,Delete an AI Search index.,Delete an AI Search index.  :param name: str   Full resource name of the index to delete. Format:   ``workspaces/{workspace_id}/endpoints/{endpoint_id}/indexes/{index_id}``,indexes,delete,delete,
aisearch.json,/api/2.0/ai-search/{name},ai_search_get_index,get,Index,"aisearch, ai_search",name,Get details for a single AI Search index.,Get details for a single AI Search index.  :param name: str   Full resource name of the index. Format:   ``workspaces/{workspace_id}/endpoints/{endpoint_id}/indexes/{index_id}``  :returns: :class:`Index`,indexes,get,select,
aisearch.json,/api/2.0/ai-search/{name},ai_search_update_endpoint,patch,Endpoint,"aisearch, ai_search","name, update_mask, endpoint",Update an existing AI Search endpoint. Multi-bucket masks are supported and dispatched in,"Update an existing AI Search endpoint. Multi-bucket masks are supported and dispatched in deterministic bucket order: budget policy, custom tags, throughput, then scaling/replicas. Per-bucket dispatch is not atomic across buckets — if a later bucket fails, earlier buckets may already have been applied.  :param name: str   Name of the AI Search endpoint. Server-assigned full resource path   (``workspaces/{workspace}/endpoints/{endpoint}``) on output. On create, the user-supplied short name   is conveyed via ``CreateEndpointRequest.endpoint_id``; the server composes the full ``name`` and   returns it on the response. :param endpoint: :class:`Endpoint`   The Endpoint resource to update. ``endpoint.name`` carries the full resource path. :param update_mask: FieldMask   The list of fields to update.  :returns: :class:`Endpoint`",endpoints,update,update,
aisearch.json,/api/2.0/ai-search/{name}:query,ai_search_query_index,post,QueryIndexResponse,"aisearch, ai_search","name, columns, columns_to_rerank, facets, filters_json, max_results, query_columns, query_text, query_type, query_vector, reranker, score_threshold, sort_columns","Query (search) an AI Search index. Read-only, so a read-scoped token may invoke it.","Query (search) an AI Search index. Read-only, so a read-scoped token may invoke it.  :param name: str   Full resource name of the index to query. Format:   ``workspaces/{workspace_id}/endpoints/{endpoint_id}/indexes/{index_id}`` :param columns: List[str]   Column names to include in each result row. :param columns_to_rerank: List[str] (optional)   Columns whose values are sent to the reranker. :param facets: List[str] (optional)   Facets to compute over the matched results (e.g. ``""category TOP 5""``). :param filters_json: str (optional)   JSON string describing query filters (e.g. ``{""id >"": 5}``). :param max_results: int (optional)   Maximum number of results to return (the legacy ``num_results``). Defaults to 10. :param query_columns: List[str] (optional)   Text columns to search for ``query_text``. When empty, all text columns are searched. :param query_text: str (optional)   Query text. Required for Delta Sync indexes that compute embeddings from a model endpoint. :param query_type: str (optional)   Query type: ``ANN``, ``HYBRID``, or ``FULL_TEXT``. Defaults to ``ANN``. :param query_vector: List[float] (optional)   Query vector. Required for Direct Access indexes and Delta Sync indexes with self-managed vectors. :param reranker: :class:`RerankerConfig` (optional)   If set, results are reranked before being returned. :param score_threshold: float (optional)   Score threshold for the approximate nearest-neighbor search. Defaults to 0.0. :param sort_columns: List[str] (optional)   Sort clauses, e.g. ``[""rating DESC"", ""price ASC""]``. Overrides relevance ordering.  :returns: :class:`QueryIndexResponse`",indexes,query,exec,
aisearch.json,/api/2.0/ai-search/{name}:removeData,ai_search_remove_data,post,RemoveDataResponse,"aisearch, ai_search","name, primary_keys",Remove rows by primary key from a Direct Access AI Search index.,Remove rows by primary key from a Direct Access AI Search index.  :param name: str   Full resource name of the index. Must be a Direct Access index. Format:   ``workspaces/{workspace_id}/endpoints/{endpoint_id}/indexes/{index_id}`` :param primary_keys: List[str]   Primary keys of the rows to remove.  :returns: :class:`RemoveDataResponse`,indexes,remove_data,exec,
aisearch.json,/api/2.0/ai-search/{name}:scan,ai_search_scan_index,post,ScanIndexResponse,"aisearch, ai_search","name, page_size, page_token",Scan (paginate over) the rows of an AI Search index.,"Scan (paginate over) the rows of an AI Search index.  :param name: str   Full resource name of the index to scan. Format:   ``workspaces/{workspace_id}/endpoints/{endpoint_id}/indexes/{index_id}`` :param page_size: int (optional)   Maximum number of rows to return in this page. :param page_token: str (optional)   Page token from a previous response; if unset, scanning starts from the beginning.  :returns: :class:`ScanIndexResponse`",indexes,scan,exec,
