filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
iamv2.json,/api/2.0/identity/groups/{group_id}/direct-members,workspace_iam_v2_create_direct_group_member_proxy,post,DirectGroupMember,"iamv2, workspace_iam_v2","group_id, direct_group_member",Creates a group membership (assigns a principal to a group).,Creates a group membership (assigns a principal to a group).  :param group_id: int   Required. Internal ID of the group in Databricks. :param direct_group_member: :class:`DirectGroupMember`   Required. The group membership to create.  :returns: :class:`DirectGroupMember`,direct_group_members,create,insert,
iamv2.json,/api/2.0/identity/groups/{group_id}/direct-members,workspace_iam_v2_list_direct_group_members_proxy,get,ListDirectGroupMembersResponse,"iamv2, workspace_iam_v2","group_id, page_size, page_token",Lists provisioned direct members of a group with their membership source (internal or from identity,"Lists provisioned direct members of a group with their membership source (internal or from identity provider).  :param group_id: int   Required. Internal ID of the group in Databricks whose direct members are being listed. :param page_size: int (optional)   The maximum number of members to return. The service may return fewer than this value. If not   provided, defaults to 1000 (also the maximum allowed). :param page_token: str (optional)   A page token, received from a previous ListDirectGroupMembersProxy call. Provide this to retrieve   the subsequent page.  :returns: :class:`ListDirectGroupMembersResponse`",direct_group_members,list,select,$.direct_group_members
iamv2.json,/api/2.0/identity/groups,workspace_iam_v2_create_group_proxy,post,Group,"iamv2, workspace_iam_v2",group,Creates a group in the Databricks account that parents the calling workspace and returns the resulting,Creates a group in the Databricks account that parents the calling workspace and returns the resulting Group resource.  :param group: :class:`Group`   Required. Group to be created in <Databricks>  :returns: :class:`Group`,groups,create,insert,
iamv2.json,/api/2.0/identity/groups,workspace_iam_v2_list_groups_proxy,get,ListGroupsResponse,"iamv2, workspace_iam_v2","filter, page_size, page_token","Lists the groups in the Databricks account that parents the calling workspace, returning one page per","Lists the groups in the Databricks account that parents the calling workspace, returning one page per call. Supports filtering by group name or external ID.  :param filter: str (optional)   Optional. Allows filtering groups by group name or external id. :param page_size: int (optional)   The maximum number of groups to return. The service may return fewer than this value. :param page_token: str (optional)   A page token, received from a previous ListGroups call. Provide this to retrieve the subsequent   page.  :returns: :class:`ListGroupsResponse`",groups,list,select,$.groups
iamv2.json,/api/2.0/identity/service-principals,workspace_iam_v2_create_service_principal_proxy,post,ServicePrincipal,"iamv2, workspace_iam_v2",service_principal,Creates a service principal in the Databricks account that parents the calling workspace and returns,Creates a service principal in the Databricks account that parents the calling workspace and returns the resulting ServicePrincipal resource.  :param service_principal: :class:`ServicePrincipal`   Required. Service principal to be created in <Databricks>  :returns: :class:`ServicePrincipal`,service_principals,create,insert,
iamv2.json,/api/2.0/identity/service-principals,workspace_iam_v2_list_service_principals_proxy,get,ListServicePrincipalsResponse,"iamv2, workspace_iam_v2","filter, page_size, page_token","Lists the service principals in the Databricks account that parents the calling workspace, returning","Lists the service principals in the Databricks account that parents the calling workspace, returning one page per call. Supports filtering by application ID or external ID.  :param filter: str (optional)   Optional. Allows filtering service principals by application id or external id. :param page_size: int (optional)   The maximum number of SPs to return. The service may return fewer than this value. :param page_token: str (optional)   A page token, received from a previous ListServicePrincipals call. Provide this to retrieve the   subsequent page.  :returns: :class:`ListServicePrincipalsResponse`",service_principals,list,select,$.service_principals
iamv2.json,/api/2.0/identity/users,workspace_iam_v2_create_user_proxy,post,User,"iamv2, workspace_iam_v2",user,Creates a user in the Databricks account that parents the calling workspace and returns the resulting,Creates a user in the Databricks account that parents the calling workspace and returns the resulting User resource. The same AIM-dependent provisioning behavior described on CreateUser applies.  :param user: :class:`User`   Required. User to be created in <Databricks>  :returns: :class:`User`,users,create,insert,
iamv2.json,/api/2.0/identity/users,workspace_iam_v2_list_users_proxy,get,ListUsersResponse,"iamv2, workspace_iam_v2","filter, page_size, page_token","Lists the users in the Databricks account that parents the calling workspace, returning one page per","Lists the users in the Databricks account that parents the calling workspace, returning one page per call. Supports filtering by username or external ID.  :param filter: str (optional)   Optional. Allows filtering users by username or external id. :param page_size: int (optional)   The maximum number of users to return. The service may return fewer than this value. :param page_token: str (optional)   A page token, received from a previous ListUsers call. Provide this to retrieve the subsequent page.  :returns: :class:`ListUsersResponse`",users,list,select,$.users
iamv2.json,/api/2.0/identity/workspace-assignment-details,workspace_iam_v2_create_workspace_assignment_detail_proxy,post,WorkspaceAssignmentDetail,"iamv2, workspace_iam_v2",workspace_assignment_detail,Creates a workspace assignment detail for a principal (workspace-level proxy). Entitlement grants are,"Creates a workspace assignment detail for a principal (workspace-level proxy). Entitlement grants are applied individually and non-atomically — if a failure occurs partway through, the principal will be assigned to the workspace but with only a subset of the requested entitlements. Use GetWorkspaceAssignmentDetail to confirm which entitlements were successfully granted.  :param workspace_assignment_detail: :class:`WorkspaceAssignmentDetail`   Required. Workspace assignment detail to be created in <Databricks>.  :returns: :class:`WorkspaceAssignmentDetail`",workspace_assignment_details,create,insert,
iamv2.json,/api/2.0/identity/workspace-assignment-details,workspace_iam_v2_list_workspace_assignment_details_proxy,get,ListWorkspaceAssignmentDetailsResponse,"iamv2, workspace_iam_v2","page_size, page_token","Lists workspace assignment details for a workspace (workspace-level proxy). For scalability, the","Lists workspace assignment details for a workspace (workspace-level proxy). For scalability, the response omits the per-principal entitlement fields (``entitlements`` and ``effective_entitlements``); call GetWorkspaceAssignmentDetailProxy to read entitlements for a single principal.  :param page_size: int (optional)   The maximum number of workspace assignment details to return. The service may return fewer than this   value. :param page_token: str (optional)   A page token, received from a previous ListWorkspaceAssignmentDetailsProxy call. Provide this to   retrieve the subsequent page.  :returns: :class:`ListWorkspaceAssignmentDetailsResponse`",workspace_assignment_details,list,select,$.workspace_assignment_details
