filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
iamv2.json,/api/2.0/{name},account_iam_v2_update_attribute_control_entry,patch,AttributeControlEntry,"iamv2, account_iam_v2","name, update_mask, attribute_control_entry",Updates an identity attribute control-list entry for an account.,"Updates an identity attribute control-list entry for an account.  :param name: str   The resource name of the entry. Format:   accounts/{account_id}/attribute-control-entries/{attribute_name} where {attribute_name} is the IdP   attribute being governed (e.g. ""department""). :param attribute_control_entry: :class:`AttributeControlEntry`   Required. The entry to update; its ``name`` identifies the existing entry. :param update_mask: FieldMask   Required. The fields to update. For the PrPr only is_allowed is mutable, so the backend currently   applies the full entry regardless of the mask.  :returns: :class:`AttributeControlEntry`",attribute_control_entries,update,update,
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups/{group_id}/direct-members/{principal_id},account_iam_v2_delete_direct_group_member,delete,,"iamv2, account_iam_v2","account_id, group_id, principal_id",Deletes a group membership (unassigns a principal from a group).,Deletes a group membership (unassigns a principal from a group).  :param group_id: int   Required. Internal ID of the group in Databricks. :param principal_id: int   Required. Internal ID of the principal to be unassigned from the group.,direct_group_members,delete,delete,
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups/{group_id}/direct-members/{principal_id},account_iam_v2_get_direct_group_member,get,DirectGroupMember,"iamv2, account_iam_v2","account_id, group_id, principal_id",Gets a provisioned direct member of a group.,Gets a provisioned direct member of a group.  :param group_id: int   Required. Internal ID of the group in Databricks. :param principal_id: int   Required. Internal ID of the principal belonging to the group in Databricks.  :returns: :class:`DirectGroupMember`,direct_group_members,get,select,
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups/{internal_id},account_iam_v2_delete_group,delete,,"iamv2, account_iam_v2","account_id, internal_id",Deletes a group from the Databricks account by its internal ID.,Deletes a group from the Databricks account by its internal ID.  :param internal_id: str   Required. Internal ID of the group in Databricks.,groups,delete,delete,
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups/{internal_id},account_iam_v2_get_group,get,Group,"iamv2, account_iam_v2","account_id, internal_id",Fetches a group from the Databricks account by its internal ID.,Fetches a group from the Databricks account by its internal ID.  :param internal_id: str   Required. Internal ID of the group in Databricks.  :returns: :class:`Group`,groups,get,select,
iamv2.json,/api/2.0/identity/accounts/{account_id}/groups/{internal_id},account_iam_v2_update_group,patch,Group,"iamv2, account_iam_v2","account_id, internal_id, update_mask, group",Updates an existing group in the Databricks account. Only the fields named in the update mask are,Updates an existing group in the Databricks account. Only the fields named in the update mask are modified. Returns the updated Group resource.  :param internal_id: str   Required. Internal ID of the group in Databricks. :param group: :class:`Group`   Required. Group to be updated in <Databricks> :param update_mask: str   Optional. The list of fields to update.  :returns: :class:`Group`,groups,update,update,
iamv2.json,/api/2.0/identity/accounts/{account_id}/service-principals/{internal_id},account_iam_v2_delete_service_principal,delete,,"iamv2, account_iam_v2","account_id, internal_id",Deletes a service principal from the Databricks account by its internal ID.,Deletes a service principal from the Databricks account by its internal ID.  :param internal_id: str   Required. Internal ID of the service principal in Databricks.,service_principals,delete,delete,
iamv2.json,/api/2.0/identity/accounts/{account_id}/service-principals/{internal_id},account_iam_v2_get_service_principal,get,ServicePrincipal,"iamv2, account_iam_v2","account_id, internal_id",Fetches a service principal from the Databricks account by its internal ID.,Fetches a service principal from the Databricks account by its internal ID.  :param internal_id: str   Required. Internal ID of the service principal in Databricks.  :returns: :class:`ServicePrincipal`,service_principals,get,select,
iamv2.json,/api/2.0/identity/accounts/{account_id}/service-principals/{internal_id},account_iam_v2_update_service_principal,patch,ServicePrincipal,"iamv2, account_iam_v2","account_id, internal_id, update_mask, service_principal",Updates an existing service principal in the Databricks account. Only the fields named in the update,Updates an existing service principal in the Databricks account. Only the fields named in the update mask are modified. Returns the updated ServicePrincipal resource.  :param internal_id: str   Required. Internal ID of the service principal in Databricks. :param service_principal: :class:`ServicePrincipal`   Required. Service Principal to be updated in <Databricks> :param update_mask: str   Optional. The list of fields to update.  :returns: :class:`ServicePrincipal`,service_principals,update,update,
iamv2.json,/api/2.0/identity/accounts/{account_id}/users/{internal_id},account_iam_v2_delete_user,delete,,"iamv2, account_iam_v2","account_id, internal_id",Deletes a user from the Databricks account by its internal ID.,Deletes a user from the Databricks account by its internal ID.  :param internal_id: str   Required. Internal ID of the user in Databricks.,users,delete,delete,
